experiment_id,match_id,agent_1,agent_2,focal_agent,focal_side,opponent,focal_color,trials,opponent_trials,configuration_trials,game_id,seed,starter,s_trials,laura_simulations,winner,winner_agent,result,score,num_moves,total_game_time,mean_decision_time,total_decision_time,num_decisions
S_vs_Laura_alternating_50,S_vs_Laura_game_024,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,24,2050,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,29,30.32841160002863,1.5065037066543785,22.597555599815678,15
S_vs_Laura_alternating_50,S_vs_Laura_game_024,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,24,2050,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,29,30.32841160002863,0.5520984642872853,7.729378500021994,14
S_vs_Laura_alternating_50,S_vs_Laura_game_025,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,25,2051,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,20,36.32483009999851,0.7367985900084022,7.367985900084022,10
S_vs_Laura_alternating_50,S_vs_Laura_game_025,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,25,2051,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,20,36.32483009999851,2.895604960003402,28.95604960003402,10
S_vs_Laura_alternating_50,S_vs_Laura_game_026,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,26,2052,Agente con rollouts heuristicos,50,100,agent_2,Agente Laura MCTS,loss,-1,38,31.081060600001365,1.1780127631561634,22.382242499967106,19
S_vs_Laura_alternating_50,S_vs_Laura_game_026,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,26,2052,Agente con rollouts heuristicos,50,100,agent_2,Agente Laura MCTS,win,1,38,31.081060600001365,0.4577160315851583,8.696604600118008,19
S_vs_Laura_alternating_50,S_vs_Laura_game_027,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,27,2053,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,24,34.38427530002082,0.6759933833236573,8.111920599883888,12
S_vs_Laura_alternating_50,S_vs_Laura_game_027,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,27,2053,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,24,34.38427530002082,2.189252566662617,26.271030799951404,12
S_vs_Laura_alternating_50,S_vs_Laura_game_028,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,28,2054,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,7,12.576446300023235,2.582236300004297,10.328945200017188,4
S_vs_Laura_alternating_50,S_vs_Laura_game_028,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,28,2054,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,7,12.576446300023235,0.749087066661256,2.247261199983768,3
S_vs_Laura_alternating_50,S_vs_Laura_game_029,Agente Laura MCTS,Agente con rollouts heuristicos,Agente Laura MCTS,agent_1,Agente con rollouts heuristicos,first,100,50,100,29,2055,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,loss,-1,24,36.17820739996387,0.7164951583351163,8.597941900021397,12
S_vs_Laura_alternating_50,S_vs_Laura_game_029,Agente Laura MCTS,Agente con rollouts heuristicos,Agente con rollouts heuristicos,agent_2,Agente Laura MCTS,second,50,100,50,29,2055,Agente Laura MCTS,50,100,agent_2,Agente con rollouts heuristicos,win,1,24,36.17820739996387,2.298243466662825,27.5789215999539,12
S_vs_Laura_alternating_50,S_vs_Laura_game_030,Agente con rollouts heuristicos,Agente Laura MCTS,Agente con rollouts heuristicos,agent_1,Agente Laura MCTS,first,50,100,50,30,2056,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,win,1,7,12.490389799990226,2.5708379249845166,10.283351699938066,4
S_vs_Laura_alternating_50,S_vs_Laura_game_030,Agente con rollouts heuristicos,Agente Laura MCTS,Agente Laura MCTS,agent_2,Agente con rollouts heuristicos,second,100,50,100,30,2056,Agente con rollouts heuristicos,50,100,agent_1,Agente con rollouts heuristicos,loss,-1,7,12.490389799990226,0.7356054333310263,2.206816299993079,3
